cypriot,turkish,greek,english
kandounin,sokak,στενό,alley/corner
karaolos,salyangoz,σαλιγκάρι,snail
kastia,işkence,βασανιστήρια,tortures
kourva,dönemeç,στροφή,turn
lamintzana,büyük kavanoz,δοχείο,large jar
lavezin,tencere,κατσαρόλα,stock-pot
pomparo,pompalamak,αντλώ,to pump
rembelos,serseri,αλήτης,punk/tramp
skarparis,ayakkabıcı,τσαγκάρης,shoemaker
sior,efendi,κύριος,sir (interjection)
ambousta,kutu,κουτί,box/case
fallaro,kafası karışmak,μπερδεύομαι,to get confused
faraona,inci keklik,φραγκόκοτα,guineafowl
fkioron,çiçek,λουλούδι,flower
foundana,çeşme,βρύση,drinking fountain
karkola,yatak,κρεβάτι,bed
katsella,inek,αγελάδα,cow
landa,durgun su,στάσιμα νερά,stagnant water
laportaro,şikayet etmek,καταγγέλλω,to report an offence
lasmarin,biberiye,δεντρολίβανο,rosemary
dyspyrko,kıskanmak,ζηλεύω,to grudge
kostonno,morartmak,μελανιάζω,to bruise
marapella,yabani erik,δαμάσκηνο,damson plum
palaro,güçlendirmek,ενισχύω,to power up
pomilorin,domates,ντομάτα,tomato
pournella,erik,δαμάσκηνο,plum
siourkazoume,sakinleşmek,ηρεμώ,to calm
amanda,sessizlik,ηρεμία,quietness
flandjin,karaciğer,συκώτι,liver
flaouna,paskalya çöreği,φλαούνα,Easter brioche
flokkos,paspas,σφουγγαρίστρα,mop
foukou,mangal,φουκού,brazier
glipparo,kaçmak,ξεφεύγω,to avoid/escape
koumandaria,tatlı şarap,κουμανδαρία,sweet dessert wine
kouza,kavanoz,στάμνα,jar
mindjis,zayıf,λεπτός,lean
pezounin,güvercin,περιστέρι,pigeon
podina,bot,μπότα,boot
protsa,çatal,πιρούνι,fork
sende,tavan arası,πατάρι,loft
vlanga,sabır,υπομονή,patience
zampa,uyluk,μηρός,thigh
kouliazo,süzmek,φιλτράρω,to filter
koumera,sağdıç,κουμέρα,maid of honour
pouloustrina,yeni yıl harçlığı,πουλουστρίνα,New Year's monetary gift
rotsa,taş,πέτρα,stone
splinga,iğne,καρφίτσα,pin
tatsa,leke,λεκές,stain
tsaera,sandalye,καρέκλα,chair
tsiminia,baca,καμινάδα,chimney
tsoura,keçi,κατσίκα,goat
